"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"96",1,2871,0,2,187590,6,39,8943,77,1202
"97",0,2107,0,2,156504,5,29,7180,60,966
"98",1,1644,0,1,130533,5,27,5820,46,775
"99",0,1257,0,2,108955,3,23,4826,35,602
"100",0,1046,0,0,91359,3,17,3803,25,456
"101",0,770,0,0,75693,2,16,3071,21,373
"102",0,617,0,0,64015,0,8,2509,11,263
"103",0,454,0,0,53261,1,9,1990,14,209
"104",0,376,0,0,44683,0,6,1611,9,199
"105",0,294,0,0,37102,0,3,1286,6,144
"106",0,251,0,0,31212,0,3,1117,3,84
"107",0,187,0,0,26097,0,2,897,6,83
"108",0,144,0,0,21926,0,4,648,1,70
"109",0,109,0,0,18353,0,2,566,3,61
"110",0,92,0,0,15325,0,2,453,0,34
"111",0,71,0,0,12788,0,1,369,1,29
"112",0,57,0,0,10724,0,0,302,0,30
"113",0,39,0,0,9219,0,1,239,0,29
"114",0,35,0,0,7599,0,2,192,0,24
"115",0,29,0,0,6533,0,0,162,1,18
"116",0,13,0,0,5384,0,0,109,0,20
"117",0,18,0,0,4602,0,0,97,1,10
"118",0,10,0,0,3940,0,0,86,0,6
"119",0,9,0,0,3208,0,0,70,0,7
"120",0,7,0,0,2827,0,0,57,0,8
"121",0,13,0,0,2307,0,0,53,2,5
"122",0,3,0,0,1985,0,0,35,1,6
"123",0,4,0,0,1744,0,0,32,0,2
"124",0,8,0,0,1432,0,0,23,0,3
"125",0,4,0,0,1275,0,0,20,0,2
"126",0,2,0,0,1022,0,0,12,0,0
"127",0,3,0,0,865,0,0,15,0,1
"128",0,5,0,0,788,0,0,9,0,0
"129",0,4,0,0,633,0,0,15,0,0
"130",0,0,0,0,566,0,0,9,0,0
"131",0,2,0,0,488,0,0,5,0,0
"132",0,1,0,0,370,0,0,2,0,0
"133",0,0,0,0,348,0,0,2,0,0
"134",0,0,0,0,282,0,0,2,0,0
"135",0,0,0,0,225,0,0,2,0,0
"136",0,0,0,0,189,0,0,0,0,0
"137",0,0,0,0,156,0,0,0,0,0
"138",0,0,0,0,122,0,0,0,0,0
"139",0,0,0,0,98,0,0,0,0,0
"140",0,0,0,0,96,0,0,0,0,0
"141",0,0,0,0,75,0,0,0,0,0
"142",0,0,0,0,67,0,0,0,0,0
"143",0,0,0,0,49,0,0,0,0,0
"144",0,0,0,0,50,0,0,0,0,0
"145",0,0,0,0,33,0,0,0,0,0
"146",0,0,0,0,27,0,0,0,0,0
"147",0,0,0,0,20,0,0,0,0,0
"148",0,0,0,0,19,0,0,0,0,0
"149",0,0,0,0,15,0,0,0,0,0
"150",0,0,0,0,9,0,0,0,0,0
"151",0,0,0,0,14,0,0,0,0,0
"152",0,0,0,0,8,0,0,0,0,0
"153",0,0,0,0,3,0,0,0,0,0
"154",0,0,0,0,4,0,0,0,0,0
"155",0,0,0,0,0,0,0,0,0,0
"156",0,0,0,0,1,0,0,0,0,0
"157",0,0,0,0,0,0,0,0,0,0
"158",0,0,0,0,1,0,0,0,0,0
"159",0,0,0,0,1,0,0,0,0,0
"160",0,0,0,0,2,0,0,0,0,0
"161",0,0,0,0,0,0,0,0,0,0
"162",0,0,0,0,1,0,0,0,0,0
"163",0,0,0,0,0,0,0,0,0,0
"164",0,0,0,0,0,0,0,0,0,0
"165",0,0,0,0,1,0,0,0,0,0
"166",0,0,0,0,0,0,0,0,0,0
"167",0,0,0,0,0,0,0,0,0,0
