"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"32",2061337,1889870,1028472,1501931,1833667,1668520,1588408,1165457,1406781,1938808
"33",1289636,1185219,658934,952992,1153599,1054915,1004093,742603,891255,1217778
"34",819401,753519,425140,608914,735888,672705,641767,478700,572076,775264
"35",525810,483885,274945,392377,471698,431865,413209,310213,367847,496933
"36",340534,312776,179483,255904,305267,279753,267031,201991,239148,321089
"37",220225,203466,118039,165650,198827,181864,174000,132111,155489,207393
"38",144029,132028,77223,108292,129609,120138,113905,86672,102261,136573
"39",94789,86859,50975,71622,85409,78190,75202,56948,66767,88993
"40",62224,57418,34162,47230,56581,51811,49016,37885,44175,58588
"41",41267,37532,22702,31529,37498,34399,32662,25326,29344,38697
"42",27159,25310,15095,21001,24759,22825,22067,16613,19247,25905
"43",18287,16835,10015,13851,16562,15115,14274,10881,13078,17195
"44",12220,11165,6797,9386,10829,10231,9602,7526,8573,11439
"45",8187,7631,4561,6290,7327,6860,6419,4929,5854,7540
"46",5435,5060,2975,4320,4991,4619,4373,3381,3905,5092
"47",3621,3438,2022,2865,3388,3014,2955,2301,2585,3440
"48",2433,2277,1394,1975,2214,2105,1870,1587,1731,2262
"49",1687,1494,931,1349,1503,1420,1386,1011,1171,1580
"50",1135,1025,667,901,986,954,927,712,825,1070
"51",783,654,452,575,687,671,634,464,553,695
"52",548,461,317,426,467,450,433,343,389,468
"53",392,310,203,301,327,297,269,220,242,337
"54",247,209,140,217,207,221,183,144,171,200
"55",192,165,104,124,145,134,131,107,114,145
"56",105,94,64,79,97,99,88,79,82,96
"57",73,86,52,74,66,65,64,43,38,63
"58",55,50,33,38,53,36,44,42,40,48
"59",28,29,27,26,28,33,35,17,27,34
"60",22,18,10,22,17,25,13,12,17,22
"61",20,21,14,9,16,16,14,9,10,19
"62",12,13,7,3,18,19,5,6,10,11
"63",1,6,4,4,10,7,5,7,2,7
"64",6,3,3,4,7,5,5,2,4,8
"65",4,6,3,2,8,3,5,3,3,5
"66",1,2,0,0,3,2,2,4,0,1
"67",1,1,1,1,3,2,1,2,2,0
"68",1,4,1,0,2,2,4,0,2,0
"69",1,0,0,0,1,1,6,1,2,0
"70",1,0,0,0,2,2,1,0,0,0
"71",0,0,0,0,1,0,1,1,0,0
"72",0,0,0,0,1,0,1,0,1,0
"73",1,0,0,0,0,1,2,0,0,0
"74",0,0,0,0,0,1,2,0,0,0
"75",2,0,0,0,1,0,0,0,0,0
"76",0,0,0,0,0,0,0,0,0,0
"77",1,0,0,0,0,0,0,0,0,0
"78",0,0,0,0,1,0,1,0,0,0
"79",0,0,0,0,1,0,0,0,0,0
"80",0,0,0,0,1,0,0,0,0,0
"81",1,0,0,0,0,0,0,0,0,0
"82",0,0,0,0,0,0,0,0,0,0
"83",0,0,0,0,0,0,0,0,0,0
"84",0,0,0,0,0,0,0,0,0,0
"85",0,0,0,0,0,0,0,0,0,0
"86",0,0,0,0,0,0,0,0,0,0
"87",0,0,0,0,0,0,0,0,0,0
"88",0,0,0,0,0,0,0,0,0,0
"89",0,0,0,0,0,0,0,0,0,0
"90",0,0,0,0,0,0,0,0,0,0
"91",0,0,0,0,0,0,0,0,0,0
"92",0,0,0,0,0,0,0,0,0,0
"93",0,0,0,0,0,0,0,0,0,0
"94",0,0,0,0,0,0,0,0,0,0
"95",0,0,0,0,0,0,0,0,0,0
"96",0,0,0,0,0,0,0,0,0,0
"97",0,0,0,0,0,0,0,0,0,0
"98",0,0,0,0,0,0,0,0,0,0
"99",0,0,0,0,0,0,0,0,0,0
"100",0,0,0,0,0,0,0,0,0,0
"101",0,0,0,0,0,0,0,0,0,0
"102",0,0,0,0,0,0,0,0,0,0
"103",0,0,0,0,0,0,0,0,0,0
"104",0,0,0,0,0,0,0,0,0,0
"105",0,0,0,0,0,0,0,0,0,0
"106",0,0,0,0,0,0,0,0,0,0
"107",0,0,0,0,0,0,0,0,0,0
"108",0,0,0,0,0,0,0,0,0,0
"109",0,0,0,0,0,0,0,0,0,0
"110",0,0,0,0,0,0,0,0,0,0
"111",0,0,0,0,0,0,0,0,0,0
"112",0,0,0,0,0,0,0,0,0,0
"113",0,0,0,0,0,0,0,0,0,0
"114",0,0,0,0,0,0,0,0,0,0
"115",0,0,0,0,0,0,0,0,0,0
"116",0,0,0,0,0,0,0,0,0,0
"117",0,0,0,0,0,0,0,0,0,0
"118",0,0,0,0,0,0,0,0,0,0
"119",0,0,0,0,0,0,0,0,0,0
"120",0,0,0,0,0,0,0,0,0,0
"121",0,0,0,0,0,0,0,0,0,0
"122",0,0,0,0,0,0,0,0,0,0
"123",0,0,0,0,0,0,0,0,0,0
"124",0,0,0,0,0,0,0,0,0,0
"125",0,0,0,0,0,0,0,0,0,0
